id,name,url
01-04-010,/article/13266,"1.04.010 Description."
11-40-050,/article/514721,"11.40.050  Private Tree Permit Standards and Review Factors."
11-60-030,/article/636286,"11.60.030  Tree Protection Specifications."
11-80-020,/article/692776,"11.80.020  Definitions and Measurements."
14A-50-030,/article/654189,"14A.50.030  Sidewalk Use."
24-55-210,/article/689598,"24.55.210  Major Residential Alterations and Additions."
24-70-090,/article/18085,"24.70.090 Setbacks."
32-22-020,/article/248166,"32.22.020  Definitions."
32-24-010,/article/18414,"32.24.010 Sign Face Area."
32-24-050,/article/18420,"32.24.050 Diagonal Corner Signs."
32-32-020,/article/687445,"32.32.020  Standards in the Commercial/Mixed Use, Campus Institution 2, Employment, and Industrial Zones."
32-32-030,/article/756282,"32.32.030  Additional Standards in All Zones."
32-42-010,/article/18565,"32.42.010 Construction and Structural Requirements."