PropertyID,filename
45,adams-community-garden.jpg
49,alberta-park-basketball.jpg
49,alberta-park.jpg
48,albert-kelly-park-pedestrian-bridge.jpg
1455,alex-rovello-memorial-courts.jpg
50,ankeny-plaza.jpg
51,april-hill-park-playground.jpg
52,arbor-lodge-park-harpers-playground.jpg
53,argay-park-tennis.jpg
1221,arnold-creek-natural-area.jpg
999999,barbara-walker-crossing- bridge.jpg
1218,beach-community-garden.jpg
58,berrydale-community-garden.jpg
59,berrydale-park-sign.jpg
60,blair-community-garden-gate.jpg
61,bloomington-park-sign.jpg
1216,brentwood-community-garden.jpg
999999,broadmoor-natural-area.jpg
67,brooklyn-park-sculpture.jpg
68,brooklyn-school-park-playground.jpg
89,buckman-community-garden.jpg
90,buckman-field-park-turf.jpg
892,buckman-indoor-pool-swimmer.jpg
92,burlingame-park-playground.jpg
93,butterfly-park-naturescape-trail.jpg
1108,carnegie-annex-entrance.jpg
97,cathedral-park-st-johns-bridge.jpg
1450,centennial-park-community-garden.jpg
99,chapman-square.jpg
825,charles-jordan-community-center-entrance.jpg
1,cherry-blossom-park.jpg
2,cherry-park-sign.jpg
5,chimney-park-aerial.jpg
1425,clarendon-community-garden-sign.jpg
894,clark-and-wilson-park.jpg
925,clatsop-butte-park-mt-hood-view.jpg
9,clinton-community-garden.jpg
10,clinton-park-sign.jpg
11,colonel-summers-community-garden.jpg
12,colonel-summers-park-splash-pad.jpg
15,columbia-childrens-arboretum-path.jpg
17,columbia-park.jpg
1106,columbia-indoor-pool-water-fitness-class.jpg
1241,columbia-slough-natural-area-view.jpg
1454,colwood-golf-center-driving-range.jpg
999999,community-center-party-rentals.jpg
21,community-music-center-class.jpg
22,cottonwood-bay-park.jpg
23,couch-park-playground.jpg
24,council-crest-park-mt-hood-view.jpg
25,creston-park.jpg
25,creston-park-pool.jpg
27,crystal-springs-rhododendron-garden.jpg
28,cully-community-garden.jpg
1174,cully-park-playground.jpg
31,custer-park-sign.jpg
1469,david-douglas-community-garden-planting.jpg
33,dawson-park-splash-pad.jpg
34,delta-park-owens-sports-complex.jpg
38,dewitt-park-playground.jpg
39,dickinson-park-and-woods.jpg
1335,director-park-aerial.jpg
44,duniway-park-entry-sign.jpg
1325,earl-boyles-community-garden.jpg
105,eastbank-esplanade-sign.jpg
1109,east-holladay-park-playground.jpg
1255,eastmoreland-garden.jpg
106,eastmoreland-golf-course-clubhouse.jpg
109,eastmoreland-playground-park.jpg
104,east-portland-community-center-and-indoor-pool-fitness.jpg
104,east-portland-community-center-and-indoor-pool-pool.jpg
110,eastridge-park-playground.jpg
1418,ed-benedict-community-garden.jpg
1385,elizabeth-caruthers-park.jpg
1419,errol-heights-community-garden.jpg
114,errol-heights-park-trail.jpg
1110,erv-lind-stadium-bleachers.jpg
1110,erv-lind-stadium.jpg
116,essex-park-playground.jpg
117,everett-community-garden.jpg
118,fanno-creek-natural-area.jpg
119,farragut-park.jpg
120,fernhill-park-sign.jpg
1448,the-fields-park-fremont-bridge-view.jpg
123,flavel-park.jpg
124,floyd-light-park-trail.jpg
1198,foley-balmer-natural-area-bridge.jpg
126,forest-heights-park-sign.jpg
127,forest-park-sun-shining-through-trees.jpg
127,forest-park-trail.jpg
1451,foster-floodplain-natural-area.jpg
1420,frazer-community-garden.jpg
130,frazer-park.jpg
1217,front-curry-community-garden.jpg
132,fulton-community-garden.jpg
133,fulton-park-playground.jpg
135,gabriel-community-garden-and-orchard.jpg
136,gabriel-park-skatepark.jpg
137,gammans-park-sign.jpg
1462,gateway-discovery-park_plaza.jpg
1462,gateway-discovery-park_sign-art-installation.jpg
1460,gateway-green-cyclist.jpg
147,george-himes-park.jpg
148,george-park-playground.jpg
1396,gilbert-heights-community-garden.jpg
149,gilbert-heights-park.jpg
150,gilbert-primary-park-playground.jpg
152,glenfair-park.jpg
153,glenhaven-park-playground.jpg
166,governors-park.jpg
1439,grant-community-garden.jpg
167,grant-park.jpg
167,grant-pool.jpg
170,hamilton-park.jpg
171,hancock-park-sign.jpg
173,harney-park-basketball-court.jpg
1237,hazeltine-park-nature-patch.jpg
1237,hazeltine-park-sign.jpg
1336,hazelwood-community-garden.jpg
178,healy-hights-park-basketball.jpg
1443,helensview-community-garden.jpg
180,heron-lakes-golf-course.jpg
183,hillsdale-park.jpg
184,hillside-community-center.jpg
185,hillside-park.jpg
186,holladay-park-fountain.jpg
1239,holly-farm-park.jpg
189,hoyt-arboretum-redwood-grove.jpg
999999,ifcc-interstate-forehouse-cultural-center.jpg
1113,international-rose-test-garden.jpg
194,ira-keller-park-fountain.jpg
195,irving-park.jpg
565,ivon-street-park.jpg
1140,jamison-square-sign.jpg
200,japanese-garden.jpg
202,john-luby-park-path.jpg
203,johns-community-garden.jpg
205,johnson-creek-park.jpg
1291,joseph-wood-hill-at-rocky-butte.jpg
209,kelley-point-park-trail.jpg
210,kelly-butte.jpg
213,kenilworth-park.jpg
214,kennedy-community-garden.jpg
1430,kenton-community-garden.jpg
215,kenton-park-playground.jpg
216,kern-park-playground.jpg
1456,khunamokwst-park-playground.jpg
220,knott-park.jpg
221,ladd-circle-sign.jpg
222,lair-hill-park-art.jpg
8,lan-su-chinese-garden.jpg
224,laurelhurst-park.jpg
225,laurelwood-park.jpg
226,leach-botanical-garden.jpg
156,legacy-fountain-waterfront-park.jpg
231,lents-community-garden.jpg
234,lents-park-playground.jpg
238,lillis-albina-park.jpg
239,lincoln-park.jpg
240,linnton-park.jpg
241,lotus-isle-park-playground.jpg
242,lovejoy-fountain-park.jpg
243,lownsdale-square.jpg
1461,luuwit-view-park-playground.jpg
244,lynchview-park-playground.jpg
247,madrona-park-playground.jpg
248,mallory-meadow.jpg
251,marquam-nature-park-bridge.jpg
252,marshall-park-trail-playground.jpg
1117,matt-dishman-community-center-boxing.jpg
1117,matt-dishman-pool-fitness-class.jpg
1262,mccoy-community-garden-sign.jpg
1258,mccoy-park-splash-pad.jpg
259,mckenna-park.jpg
261,merrifield-park.jpg
264,midland-park.jpg
265,mill-ends-park.jpg
266,mill-park-path.jpg
1119,montavilla-community-center.jpg
268,montavilla-park-futsal.jpg
1446,montavilla-pool-kids.jpg
1120,mt-scott-community-center-exterior.jpg
271,mt-scott-park.jpg
1120,mt-scott-pool-lifeguard.jpg
1455,mt-tabor-community-garden.jpg
275,mt-tabor-park-resivour-view.jpg
292,multnomah-arts-center-exterior.jpg
444,normandale-park-playground.jpg
451,northgate-park-playground.jpg
447,north-park-blocks-playground.jpg
449,north-powellhurst-park.jpg
490,oaks-bottom-wildlife-refuge.jpg
492,oaks-pioneer-park-church.jpg
495,oregon-park-playground.jpg
1441,overlook-house.jpg
497,overlook-park-field.jpg
501,parklane-park-basketball.jpg
999999,park-photo.csv
502,patton-square-park.jpg
1337,peace-community-garden.jpg
503,pendelton-park-playground.jpg
507,peninsula-park-community-center-kids-class.jpg
507,peninsula-park-rose-garden.jpg
507,peninsula-park-splash-pad.jpg
1447,peninsula-pool-lifeguard-open-swim.jpg
511,pettygrove-park-fountain.jpg
512,piccolo-park-playground.jpg
1236,pier-community-garden.jpg
513,pier-park-disc-golf.jpg
999999,pier-pool-open-swim.jpg
515,pioneer-courthouse-square.jpg
1127,pittock-mansion-exterior.jpg
812,playhaven-park-playground.jpg
1466,poets-beach.jpg
523,portland-heights-park-trail.jpg
524,portland-international-raceway-grand-prix.jpg
1202,portland-memory-garden.jpg
525,portland-tennis-center-exterior.jpg
884,portsmouth-community-garden.jpg
527,portsmouth-park-sign.jpg
528,powell-butte-park-mt-hood-view.jpg
530,powell-park.jpg
531,powers-marine-park-picnic-table.jpg
561,raymond-park-splash-pad.jpg
562,redtail-golf-course.jpg
999999,rieke-field-turf-soccer-player.jpg
1261,rigler-community-garden.jpg
1438,river-view-ntural-area-trail-hikers.jpg
568,rocky-butte-natural-area-mt-st-helens-view.jpg
570,rose-city-golf-course-golfer.jpg
573,rose-city-park-field.jpg
1332,ross-island-natural-area.jpg
578,sabin-community-garden-sign.jpg
580,sacajawea-park-path.jpg
663,sellwood-community-center-billiards.jpg
1230,sellwood-community-garden.jpg
666,sellwood-park-flower-bed.jpg
1130,sellwood-pool.jpg
668,sellwood-riverfront-park.jpg
1326,senns-community-garden.jpg
1224,senns-dairy-park-sign.jpg
669,sewallcrest-community-garden.jpg
670,sewallcrest-park-playground-bench.jpg
999999,smith-bybee-lakes-canoe.jpg
674,south-park-blocks-farmers-market.jpg
1457,south-waterfront-greenway.jpg
916,south-waterfront-park-dog-walker.jpg
1132,southwest-community-center-exterior.jpg
1132,southwest-community-center-pool-open-swim.jpg
678,spring-garden-park-playground-splash-pad.jpg
679,springwater-corridor-cyclists.jpg
917,stark-street-island-fountain.jpg
711,stephens-creek-natural-area.jpg
203,st-johns-community-center-exterior.jpg
681,st-johns-park-playground.jpg
714,sumner-albina-park-mural.jpg
1423,sumner-community-garden-sign.jpg
715,sunnyside-school-park-playground.jpg
1200,sylvania-park-natural-area-dragonfly.jpg
1273,tanner-springs-park.jpg
815,tideman-johnson-natural-area-path.jpg
999999,tryon-creek-watershed-trail.jpg
1010,two-plum-park-sign-mural.jpg
824,university-park-playground.jpg
37,unthank-park-basketball.jpg
832,ventura-park-playground-kid.jpg
833,vermont-hills-community-garden.jpg
1383,vestal-community-garden-sunflower.jpg
835,vietnam-veterans-memorial-garden-of-solace.jpg
1135,walker-stadium-at-lents-park.jpg
839,wallace-park-dola-dog-off-leash.jpg
841,washington-park-amphitheater.jpg
156,waterfront-park-salmon-springs-fountain-tom-mccall.jpg
1412,waud-bluff-trail-bridge.jpg
846,wellington-park-playground.jpg
852,westmoreland-park-nature-play-playground.jpg
850,west-powellhurst-park-bench-path.jpg
856,whitaker-ponds-natural-area.jpg
857,wilkes-park-sign-playground.jpg
860,willamette-greenway-trail.jpg
861,willamette-park-river-view.jpg
1123,william-v-owen-softball-complex.jpg
862,wilshire-park-nature-patch-volunteers.jpg
863,wilson-pool.jpg
999999,wood-community-garden-harvet-women.jpg
864,woodlawn-community-garden.jpg
865,woodlawn-park-splash-pad.jpg
867,woodstock-community-center-exterior.jpg
868,woodstock-park-path.jpg
